School Code,School Name,Address,City,State Code,Zip Code,Province,Country,Postal Code
005601,ALBANY TECHNICAL COLLEGE,1704 S. SLAPPEY BOULEVARD,ALBANY,GA,31701,,,
015001,SOUTH MOUNTAIN COMMUNITY COLLEGE,7050 SOUTH 24TH STREET,PHOENIX,AZ,85040,,,
G21497,UNIVERSITY OF WINCHESTER (THE),SPARKFORD ROAD,WINCHESTER,FC,0,HAMPSHIRE,ENGLAND,S022 4NR
014748,PAUL MITCHELL THE SCHOOL JACKSONVILLE,4624 TOWN CROSSING DRIVE SUITE 155,JACKSONVILLE,FL,32246,,,
E02150,PAUL MITCHELL THE SCHOOL JACKSONVILLE,14445 POTOMAC MILLS ROAD,WOODBRIDGE,VA,22192,,,
015086,COSMETOLOGY & SPA ACADEMY,700 EAST TERRA COTTA  AVENUE,CRYSTAL LAKE,IL,60014,,,
001325,UNIVERSITY OF SAN FRANCISCO,2130 FULTON STREET,SAN FRANCISCO,CA,94117,,,
002854,SUNY COLLEGE OF TECHNOLOGY-ALFRED,ALFRED STATE COLLEGE,ALFRED,NY,14802,,,
003211,OREGON INSTITUTE OF TECHNOLOGY,3201 CAMPUS DR,KLAMATH FALLS,OR,97601,,,
G06686,UNIVERSITY OF OTTAWA,550 CUMBERLAND,OTTAWA,CN,0,,CAN/ADA,
009231,WASHINGTON COUNTY COMMUNITY COLLEGE,ONE COLLEGE DRIVE,CALAIS,ME,4619,,,
015168,CENTRAL SUSQUEHANNA LPN CENTER,1339 SAINT MARY STREET SUITE 2,LEWISBURG,PA,17837,,,
014050,TECHNICAL COLLEGE OF THE ROCKIES,1765 US HIGHWAY 50 SOUTH,DELTA,CO,81416,,,
015195,DAVIS TECHNICAL COLLEGE,550 EAST 300 SOUTH,KAYSVILLE,UT,84037,,,
015510,CONCORDE CAREER COLLEGE,5100 POPLAR AVENUE-SUITE 132,MEMPHIS,TN,38137,,,
001236,MENLO COLLEGE,1000 EL CAMINO REAL,ATHERTON,CA,94027,,,
001326,SANTA CLARA UNIVERSITY,500 EL CAMINO REAL,SANTA CLARA,CA,95053,,,
001808,UNIVERSITY OF SOUTHERN INDIANA,8600 UNIVERSITY BLVD,EVANSVILLE,IN,47712,,,
E00876,NEW MEXICO STATE UNIVERSITY - DONA ANA C,P O BOX 30001  MSC 3DA,LAS CRUCES,NM,88003,,,
E00750,UNIVERSITY OF PITTSBURGH - SCHOOL OF DEN,3501 TERRACE STREET,PITTSBURGH,PA,15261,,,
G06689,UNIVERSITY OF WINDSOR,401 SUNSET AVENUE,WINDSOR,CN,0,ONTARIO,CAN/ADA,N9B 3P4
G06693,LONDON SCHOOL OF ECONOMICS AND POLITICAL,HOUGHTON STREET,LONDON,FC,0,,ENGLAND,
G06694,UNIVERSITY OF LONDON - SCHOOL OF ORIENTA,THORNHAUGH STREET RUSSELL SQUARE,LONDON,FC,0,,ENGLAND,WC1H  0X
015201,ROCHESTER GENERAL-ISABELLA GRAHAM HART,470 SKYVIEW CENTRE PARKWAY,ROCHESTER,NY,14622,,,
015204,WSHNGTN-SARTGA-WARN-HMLTN-ESX BOCES,1051 DIX AVENUE,HUDSON FALLS,NY,12839,,,
015206,MIFFLIN COUNTY ACADEMY OF SCIENCE & TECH,700 PITT STREET,LEWISTOWN,PA,17044,,,
001237,MERCED COMMUNITY COLLEGE,3600 M STREET,MERCED,CA,95348,,,
G10333,JESUIT SCHOOL OF THEOLOGY - BERKELEY,1735 LEROY AVENUE,BERKELEY,CA,94709,,,
001600,WESLEYAN COLLEGE,4760 FORSYTH RD,MACON,GA,31210,,,
002456,COLUMBIA COLLEGE,1001 ROGERS STREET,COLUMBIA,MO,65216,,,
002742,THE JUILLIARD SCHOOL,60 LINCOLN CENTER PLAZA,NEW YORK,NY,10023,,,
003289,LEHIGH UNIVERSITY,27 MEMORIAL DRIVE WEST,BETHLEHEM,PA,18015,,,
003578,UNIVERSITY OF THE INCARNATE WORD,4301 BROADWAY,SAN ANTONIO,TX,78209,,,
